Country,Year,Happiness Score,GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Corruption
Venezuela,2021,5.107553005218506,,0.8124180436134338,64.05000305175781,0.5956203937530518,,0.823898434638977
United States,2021,6.95908784866333,11.061464309692383,0.9200087189674377,65.8499984741211,0.8157348036766052,0.1900331974029541,0.6865915656089783
Taiwan Province of China,2021,6.246744155883789,,0.8662975430488586,,0.818467378616333,,0.675438642501831
Thailand,2021,5.638096809387207,9.745490074157715,0.8828219175338745,68.44999694824219,0.8355903029441833,0.2927756607532501,0.9431293606758118
Switzerland,2021,7.327672481536865,11.170897483825684,0.934393048286438,72.9000015258789,0.9078753590583801,0.02410462684929371,0.28667256236076355
United Kingdom,2021,6.86696195602417,10.713944435119629,0.8540295958518982,70.30000305175781,0.8150771856307983,0.2535725235939026,0.44752657413482666
Tajikistan,2021,5.2868242263793945,8.269582748413086,0.882888913154602,62.29999923706055,,-0.06806404888629913,0.49892473220825195
Tunisia,2021,4.499485969543457,9.24936294555664,0.7113215327262878,67.0,0.5912299156188965,-0.20317047834396362,0.932745635509491
Zimbabwe,2021,3.15457820892334,7.656878471374512,0.6851505041122437,54.04999923706055,0.6676361560821533,-0.07557453215122223,0.7569451928138733
Vietnam,2021,5.540249824523926,9.271267890930176,0.7994939088821411,65.5,0.8968003988265991,0.10694130510091782,0.7977875471115112
Zambia,2021,3.0821549892425537,8.082337379455566,0.6190710067749023,55.25,0.8325737714767456,0.14122971892356873,0.8240308165550232
Turkiye,2021,4.366639614105225,10.356680870056152,0.736194908618927,68.75,0.4465276300907135,-0.03679101914167404,0.8101659417152405
Uzbekistan,2021,6.18530797958374,8.953489303588867,0.8955037593841553,65.30000305175781,0.9274152517318726,0.1860121190547943,0.6615616679191589
Uganda,2021,4.224533557891846,7.717090606689453,0.79334956407547,59.150001525878906,0.7106211185455322,0.08425288647413254,0.8350117206573486
United Arab Emirates,2021,6.733067512512207,11.152440071105957,0.8260605931282043,66.30000305175781,0.951327919960022,0.15121862292289734,
Ukraine,2021,5.311355113983154,9.468358039855957,0.8793085217475891,64.55000305175781,0.7699043154716492,0.16855143010616302,0.9223509430885315
Tanzania,2021,3.680567979812622,7.856203079223633,0.6189844012260437,59.400001525878906,0.8217728137969971,0.11343809217214584,0.5463870763778687
Togo,2021,4.036543846130371,7.661435127258301,0.6033996939659119,57.20000076293945,0.6185206770896912,0.04094259440898895,0.7658184766769409
Uruguay,2021,6.501700401306152,10.0345458984375,0.9138731360435486,67.5,0.8987239003181458,-0.05062529072165489,0.6056421399116516
Latvia,2021,6.353090763092041,10.376033782958984,0.954086422920227,66.4000015258789,0.8152781128883362,-0.10197370499372482,0.8395253419876099
Kyrgyzstan,2021,5.563699722290039,8.479482650756836,0.904273271560669,66.8499984741211,0.917870819568634,0.2034691870212555,0.9025155901908875
New Zealand,2021,7.136700630187988,10.666987419128418,0.9498322010040283,70.3499984741211,0.9102498292922974,0.21917983889579773,0.25242355465888977
Hungary,2021,6.226647853851318,10.422077178955078,0.9478921294212341,67.5,0.7274899482727051,-0.04410426318645477,0.8315553665161133
Hong Kong S.A.R. of China,2021,5.3215508460998535,11.00173568725586,0.8210885524749756,,0.6686305999755859,0.02238057367503643,0.38958948850631714
Nicaragua,2021,6.095348834991455,8.637417793273926,0.8482630252838135,65.6500015258789,0.904980480670929,0.02333003841340542,0.6746687293052673
Croatia,2021,6.286790370941162,10.362045288085938,0.9177415370941162,68.94999694824219,0.8418378829956055,0.003264117520302534,0.9336503744125366
Chile,2021,6.435630798339844,10.144436836242676,0.8914605379104614,70.30000305175781,0.803415060043335,-0.049678605049848557,0.8585527539253235
Honduras,2021,6.113636016845703,8.625540733337402,0.8059808611869812,63.849998474121094,0.8350457549095154,0.1135224923491478,0.8472254276275635
Benin,2021,4.493431091308594,8.108187675476074,0.43552419543266296,56.099998474121094,0.7240618467330933,-0.013133102096617222,0.6125470995903015
Colombia,2021,5.289958477020264,9.5920991897583,0.7928306460380554,69.3499984741211,0.7746684551239014,-0.06290683150291443,0.8313309550285339
Guinea,2021,4.944539546966553,7.878664493560791,0.6272392272949219,54.20000076293945,0.676289975643158,0.16038358211517334,0.7835156917572021
Nigeria,2021,4.4792656898498535,8.501598358154297,0.7415601015090942,55.04999923706055,0.7257328629493713,0.05000847950577736,0.911945104598999
Jamaica,2021,5.8137335777282715,9.169160842895508,0.8573675751686096,66.5999984741211,0.7306572794914246,-0.08164606988430023,0.8827446103096008
North Macedonia,2021,5.534749984741211,9.70913314819336,0.8088569641113281,66.5,0.7929657697677612,0.1912599503993988,0.8843253254890442
Malawi,2021,3.6352832317352295,7.3072919845581055,0.5579143166542053,58.20000076293945,0.757269024848938,-0.010125406086444855,0.7402769923210144
Belgium,2021,6.88175630569458,10.85397720336914,0.9148567914962769,70.9000015258789,0.8225030899047852,0.07918275147676468,0.5233678221702576
Norway,2021,7.361573696136475,11.092278480529785,0.9478774070739746,71.5,0.9363791942596436,0.16768164932727814,0.26327696442604065
China,2021,5.8628644943237305,9.77580738067627,0.8560069799423218,68.75,0.8747555017471313,0.022141411900520325,
Pakistan,2021,4.486834526062012,8.562576293945312,0.6083956360816956,57.45000076293945,0.7639920711517334,0.00992346927523613,0.7427191734313965
Greece,2021,6.104214191436768,10.29377269744873,0.8503261804580688,71.1500015258789,0.574029803276062,-0.15869438648223877,0.7518168687820435
Panama,2021,6.552778720855713,10.276358604431152,0.8986212611198425,68.9000015258789,0.8106819987297058,-0.14625726640224457,0.8610625863075256
Cameroon,2021,4.962747573852539,8.21621322631836,0.6949363946914673,55.849998474121094,0.7153017520904541,-0.026043305173516273,0.8487171530723572
Bangladesh,2021,4.123318672180176,8.684572219848633,0.484740287065506,64.55000305175781,0.8930133581161499,0.09182515740394592,0.7462065815925598
Israel,2021,7.57752799987793,10.646882057189941,0.916583240032196,72.69999694824219,0.8197770118713379,-0.005923409480601549,0.7260037660598755
Bolivia,2021,5.568624019622803,8.993698120117188,0.7978104948997498,63.599998474121094,0.861731231212616,-0.05537501350045204,0.8121744394302368
Malaysia,2021,6.010391712188721,10.178584098815918,0.7940511703491211,65.6500015258789,0.8783622980117798,0.21977756917476654,0.7694174647331238
Netherlands,2021,7.314151287078857,10.944070816040039,0.9187594056129456,71.55000305175781,0.8562934398651123,0.2672920227050781,0.39657288789749146
Cambodia,2021,4.555141448974609,8.378979682922363,0.7127575874328613,61.900001525878906,0.9650933146476746,0.015026661567389965,0.8443530797958374
Mexico,2021,5.990750789642334,9.85671615600586,0.7786051034927368,65.80000305175781,0.8371593356132507,-0.0346093624830246,0.7451868057250977
Ireland,2021,6.8276519775390625,11.537581443786621,0.849838137626648,71.30000305175781,0.8463441133499146,0.13269658386707306,0.36042338609695435
Italy,2021,6.466744899749756,10.643743515014648,0.8855336308479309,72.05000305175781,0.7028452157974243,-0.09410721063613892,0.8623175024986267
Moldova,2021,5.959048748016357,9.547471046447754,0.879554033279419,65.30000305175781,0.8326022624969482,-0.09550105780363083,0.8750606775283813
Congo (Brazzaville),2021,4.920531272888184,8.081596374511719,0.567651093006134,56.849998474121094,0.7376614809036255,-0.019420256838202477,0.7327299118041992
Bulgaria,2021,5.421693325042725,10.102261543273926,0.8836210370063782,66.5,0.8411880731582642,-0.01580125279724598,0.8912484645843506
Mongolia,2021,5.721034049987793,9.364642143249512,0.9271169900894165,60.5,0.6668466329574585,0.21715155243873596,0.8507202863693237
Iraq,2021,5.093667984008789,9.10079288482666,0.7302128672599792,63.650001525878906,0.5944667458534241,0.007494671735912561,0.9006400108337402
Malta,2021,6.4437150955200195,10.706805229187012,0.8971130847930908,71.5999984741211,0.8890738487243652,0.2417655736207962,0.7525159120559692
Iran,2021,4.787814140319824,9.616117477416992,0.7714695334434509,66.5999984741211,0.6093102693557739,0.17448396980762482,0.7611703276634216
Brazil,2021,6.009953498840332,9.588253021240234,0.814328670501709,65.75,0.7915077209472656,0.08927719295024872,0.7385714054107666
Cyprus,2021,6.26920223236084,10.638297080993652,0.8553572297096252,72.80000305175781,0.7176392674446106,-0.03641124442219734,0.8764560222625732
Morocco,2021,5.326248645782471,8.99446964263916,0.5045639276504517,63.900001525878906,0.7618064880371094,-0.20162107050418854,0.8173668384552002
Indonesia,2021,5.433173179626465,9.380770683288574,0.8169246912002563,63.04999923706055,0.8848558664321899,0.542997419834137,0.8450802564620972
Mozambique,2021,5.1784868240356445,7.112137317657471,0.66402268409729,51.29999923706055,0.8381004929542542,0.046138111501932144,0.6274664402008057
Ivory Coast,2021,5.055806636810303,8.58017349243164,0.5542248487472534,55.95000076293945,0.7171052694320679,-0.0015229987911880016,0.7158969640731812
Myanmar,2021,4.314039707183838,8.302172660827637,0.7795764207839966,61.54999923706055,0.6313943862915039,0.5113723874092102,0.6710634827613831
India,2021,3.558253765106201,8.793618202209473,0.5697329044342041,60.900001525878906,0.8661109209060669,0.05586302652955055,0.756820023059845
Namibia,2021,4.491207122802734,9.120174407958984,0.8078007698059082,56.849998474121094,0.6585052609443665,-0.1495772749185562,0.8289667367935181
Bosnia and Herzegovina,2021,5.748823165893555,9.659282684326172,0.8599535822868347,67.30000305175781,0.7589792013168335,0.2771472632884979,0.9209139347076416
Iceland,2021,7.564624786376953,10.889045715332031,0.9798582196235657,72.05000305175781,0.9232433438301086,0.25789719820022583,0.664465606212616
Costa Rica,2021,6.408448219299316,9.961722373962402,0.8760523200035095,70.0,0.8866522312164307,-0.02657731994986534,0.781826913356781
Nepal,2021,4.622300148010254,8.251129150390625,0.6986464262008667,61.849998474121094,0.8175446391105652,0.14718462526798248,0.76994788646698
Mali,2021,4.113095760345459,7.659465312957764,0.5733935236930847,55.400001525878906,0.6727892756462097,-0.0002305059169884771,0.901567280292511
Burkina Faso,2021,4.6355085372924805,7.686983585357666,0.6575435996055603,55.650001525878906,0.644101619720459,0.06736715137958527,0.7361589074134827
Japan,2021,6.091324806213379,10.61605453491211,0.8957377076148987,74.3499984741211,0.8013503551483154,-0.21105676889419556,0.6695467233657837
Paraguay,2021,5.575535297393799,9.524250030517578,0.9075418710708618,65.9000015258789,0.8879607915878296,0.01690753735601902,0.856721043586731
Peru,2021,5.694317817687988,9.43465518951416,0.8185394406318665,69.8499984741211,0.8117775321006775,-0.08730985969305038,0.8799137473106384
Sierra Leone,2021,3.71429443359375,7.386903285980225,0.6093341112136841,54.5,0.6591395139694214,0.1093188226222992,0.8514884114265442
Ghana,2021,4.377950668334961,8.600658416748047,0.6327296495437622,58.75,0.7302647233009338,0.1080491840839386,0.8877704739570618
Finland,2021,7.79437780380249,10.79452896118164,0.9702892899513245,71.1500015258789,0.9631898403167725,-0.03746664524078369,0.19175365567207336
Singapore,2021,6.586717128753662,11.571497917175293,0.8764089941978455,73.80000305175781,0.8787010908126831,0.06273898482322693,0.14493538439273834
Argentina,2021,5.908278942108154,9.977072715759277,0.8823045492172241,67.19999694824219,0.8194793462753296,-0.01219702698290348,0.8162567019462585
Slovakia,2021,6.418503761291504,10.369296073913574,0.9511638879776001,68.94999694824219,0.7415332198143005,0.04595585912466049,0.895546555519104
Slovenia,2021,6.761220932006836,10.597546577453613,0.9552525877952576,71.05000305175781,0.8510867357254028,0.027393518015742302,0.7541981935501099
Dominican Republic,2021,6.030537128448486,9.832318305969238,0.8571069836616516,64.4000015258789,0.8593583106994629,-0.08615411072969437,0.6774082183837891
Algeria,2021,5.217017650604248,9.3092622756958,0.8407102823257446,66.5999984741211,0.5584869384765625,-0.11348341405391693,0.7119000554084778
South Africa,2021,5.598653793334961,9.496415138244629,0.9222387671470642,57.25,0.7035647034645081,-0.14547544717788696,0.8915786147117615
Lebanon,2021,2.178809404373169,9.470949172973633,0.5067752599716187,66.1500015258789,0.42269667983055115,-0.16128143668174744,0.9052790999412537
Estonia,2021,6.553915500640869,10.564051628112793,0.9458650350570679,69.6500015258789,0.9258183240890503,0.04738721624016762,0.44142577052116394
South Korea,2021,6.11274528503418,10.697208404541016,0.8107407689094543,73.6500015258789,0.7170863747596741,-0.03141368553042412,0.6851145625114441
Laos,2021,4.9265217781066895,8.967883110046387,0.6498932838439941,61.099998474121094,0.9270414710044861,0.040204595774412155,0.6680314540863037
Albania,2021,5.255481719970703,9.583207130432129,0.7018827795982361,69.1500015258789,0.8274527192115784,0.04137755185365677,0.8961266279220581
Spain,2021,6.469611167907715,10.543051719665527,0.9264167547225952,72.3499984741211,0.7817949652671814,-0.07412838190793991,0.7293469905853271
El Salvador,2021,6.4314470291137695,9.114495277404785,0.796106219291687,65.5999984741211,0.9149038791656494,-0.08128932118415833,0.6632885932922363
Sri Lanka,2021,4.103446960449219,9.502015113830566,0.8123739361763,67.19999694824219,0.7714300155639648,-0.011509876698255539,0.8485414981842041
Egypt,2021,4.025747776031494,9.355829238891602,0.7170223593711853,63.5,0.70444256067276,-0.2263171225786209,0.5804541707038879
Ecuador,2021,5.434872150421143,9.27507495880127,0.7855318784713745,69.0,0.8210253715515137,-0.08300226181745529,0.7745082974433899
Afghanistan,2021,2.4360344409942627,7.324032306671143,0.4541746973991394,54.54999923706055,0.394305944442749,-0.08101112395524979,0.9462993741035461
Sweden,2021,7.439280033111572,10.889554977416992,0.9318195581436157,72.1500015258789,0.953379213809967,0.17409120500087738,0.1914730966091156
Kosovo,2021,6.648499488830566,9.382963180541992,0.8488386273384094,,0.840116560459137,0.2606412172317505,0.8423787951469421
Serbia,2021,6.245267391204834,9.89501667022705,0.8901060819625854,67.1500015258789,0.8503679037094116,0.2636013627052307,0.806221604347229
Kenya,2021,4.464540958404541,8.46452808380127,0.702200710773468,58.5,0.6781082153320312,0.31601575016975403,0.841331422328949
Denmark,2021,7.698747158050537,10.967554092407227,0.9449267387390137,71.25,0.9334392547607422,0.13148434460163116,0.17268094420433044
Philippines,2021,5.965057849884033,8.998964309692383,0.7781921029090881,62.04999923706055,0.9052754640579224,-0.008972425013780594,0.7211622595787048
Austria,2021,7.079640865325928,10.898980140686035,0.8629759550094604,71.1500015258789,0.7948459386825562,0.15944503247737885,0.500808596611023
Poland,2021,5.978068828582764,10.460686683654785,0.9355348348617554,69.05000305175781,0.7318055629730225,0.12387482076883316,0.7439131736755371
Germany,2021,6.754523754119873,10.881431579589844,0.8675825595855713,71.30000305175781,0.778439998626709,0.07537445425987244,0.4175819158554077
Lithuania,2021,6.864572525024414,10.579122543334961,0.9281752109527588,67.4000015258789,0.7074025273323059,-0.11934281140565872,0.8778007626533508
Portugal,2021,6.183014392852783,10.4244966506958,0.8949416875839233,71.25,0.8921211361885071,-0.2094140499830246,0.8722293376922607
Georgia,2021,4.91127347946167,9.647734642028809,0.6706894636154175,64.94999694824219,0.7770613431930542,-0.28735074400901794,0.7234069108963013
Czechia,2021,6.9424967765808105,10.614990234375,0.9502267837524414,69.05000305175781,0.8905214667320251,0.15911005437374115,0.8625741004943848
Armenia,2021,5.300568580627441,9.56051254272461,0.7620441317558289,67.6500015258789,0.7951697707176208,-0.15632589161396027,0.7053338289260864
Jordan,2021,3.909149169921875,9.129471778869629,0.7029181718826294,67.5999984741211,0.7731134295463562,-0.14558036625385284,0.655549168586731
Romania,2021,6.548725605010986,10.33452033996582,0.8345091342926025,67.05000305175781,0.8709579706192017,-0.18426701426506042,0.9282801151275635
Kazakhstan,2021,6.259634017944336,10.170093536376953,0.906053364276886,65.80000305175781,0.8074890971183777,0.03642212972044945,0.7824940085411072
Senegal,2021,4.902830600738525,8.159204483032227,0.645179271697998,60.0,0.7585251331329346,0.029927680268883705,0.821348249912262
