Country,Year,Happiness Score,GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Corruption
Canada,2019,7.109076499938965,10.803070068359375,0.9253039956092834,71.30000305175781,0.9115256071090698,0.10707373172044754,0.43643441796302795
Burkina Faso,2019,4.7408928871154785,7.654472827911377,0.6831023693084717,54.900001525878906,0.6775468587875366,-0.0030976003035902977,0.7293965816497803
Zimbabwe,2019,2.6935231685638428,7.697755336761475,0.7591623067855835,53.099998474121094,0.63190758228302,-0.047463852912187576,0.8306518793106079
Taiwan Province of China,2019,6.537089824676514,10.797459602355957,0.8934305906295776,,0.8144844770431519,-0.1289578080177307,0.7181123495101929
Guatemala,2019,6.2621750831604,9.06782054901123,0.774074375629425,62.29999923706055,0.9006763100624084,-0.0654299184679985,0.7725779414176941
Saudi Arabia,2019,6.5612473487854,10.713417053222656,0.9117184281349182,64.0,0.8910865783691406,-0.14796337485313416,
Honduras,2019,5.930051326751709,8.63295841217041,0.7971483469009399,63.0,0.8461900353431702,0.06167029216885567,0.8149629235267639
United Arab Emirates,2019,6.710782527923584,11.181390762329102,0.8615332841873169,66.0,0.9114195108413696,0.1192975863814354,
South Korea,2019,5.9028167724609375,10.663325309753418,0.7831608653068542,73.0999984741211,0.706032395362854,-0.05965296924114227,0.7176961302757263
Rwanda,2019,3.2681522369384766,7.692296504974365,0.48945823311805725,60.20000076293945,0.868999183177948,0.06350939720869064,0.16797089576721191
Switzerland,2019,7.694221019744873,11.16841983795166,0.948512852191925,72.5,0.9131667017936707,0.02931145206093788,0.2937007546424866
Slovenia,2019,6.665273666381836,10.57219409942627,0.9494022727012634,70.69999694824219,0.9454305171966553,-0.10644422471523285,0.7854418158531189
Afghanistan,2019,2.375091791152954,7.640085697174072,0.41997286677360535,53.900001525878906,0.3936561644077301,-0.10601644963026047,0.9238491058349609
Benin,2019,4.97636079788208,8.057199478149414,0.4421539306640625,55.5,0.770359992980957,-0.015219426713883877,0.6983469724655151
Spain,2019,6.457449436187744,10.615464210510254,0.9490134716033936,72.0999984741211,0.7779667377471924,-0.05257847532629967,0.7303376197814941
Slovakia,2019,6.243428707122803,10.372661590576172,0.9330883026123047,68.5,0.7711215615272522,-0.131159245967865,0.9258466958999634
Senegal,2019,5.488736629486084,8.140456199645996,0.6876140832901001,59.400001525878906,0.7588417530059814,-0.021609559655189514,0.7956734299659729
Chad,2019,4.250799179077148,7.353720188140869,0.6404520869255066,52.0,0.5372456908226013,0.05440681800246239,0.8322834968566895
Iceland,2019,7.532504558563232,10.949458122253418,0.9818245768547058,72.0,0.9594700932502747,,0.6987079381942749
Singapore,2019,6.378359794616699,11.495609283447266,0.9249183535575867,73.5999984741211,0.9380417466163635,0.021643154323101044,0.06961960345506668
Sri Lanka,2019,4.21329927444458,9.520689964294434,0.8149391412734985,67.0,0.8242773413658142,0.044960733503103256,0.86334228515625
Hong Kong S.A.R. of China,2019,5.6593170166015625,10.995218276977539,0.855825662612915,,0.7268521785736084,0.0632319450378418,0.4319736361503601
Serbia,2019,6.24140739440918,9.815207481384277,0.9032942652702332,66.9000015258789,0.7525045871734619,-0.04391925409436226,0.8131418228149414
Armenia,2019,5.488086700439453,9.569241523742676,0.7816038727760315,67.0999984741211,0.8443241119384766,-0.1790267825126648,0.583472728729248
Mozambique,2019,4.932132720947266,7.158658027648926,0.742303729057312,50.400001525878906,0.8698102235794067,0.07125137746334076,0.6819004416465759
Australia,2019,7.233994960784912,10.807282447814941,0.9427743554115295,70.9000015258789,0.9175369143486023,0.11690784990787506,0.43020865321159363
New Zealand,2019,7.205174446105957,10.67151927947998,0.9388211965560913,70.19999694824219,0.9120423793792725,0.15217462182044983,0.2338312268257141
Azerbaijan,2019,5.173389434814453,9.577898979187012,0.886756420135498,63.599998474121094,0.8542485237121582,-0.21762880682945251,0.4572606682777405
Brazil,2019,6.451148986816406,9.594590187072754,0.8991750478744507,65.4000015258789,0.830206036567688,-0.06542722135782242,0.7618405818939209
Belgium,2019,6.7721381187438965,10.858560562133789,0.8842304944992065,70.5999984741211,0.7762036323547363,-0.17625266313552856,0.6724975109100342
Nicaragua,2019,6.112545013427734,8.584662437438965,0.873863935470581,65.5,0.8826784491539001,0.027582021430134773,0.6219817399978638
Malaysia,2019,5.427954196929932,10.228262901306152,0.8424988389015198,65.69999694824219,0.9157786965370178,0.12122005969285965,0.7819439172744751
Ukraine,2019,4.7017621994018555,9.457587242126465,0.8827264904975891,64.30000305175781,0.7153117656707764,-0.08416202664375305,0.8850049376487732
Belarus,2019,5.821453094482422,9.866782188415527,0.9167404770851135,66.0,0.656933605670929,-0.1899358630180359,0.5459047555923462
El Salvador,2019,6.45482063293457,9.1073579788208,0.7643905282020569,64.9000015258789,0.8773906826972961,-0.11369512230157852,0.6815764904022217
