Country,Year,Happiness Score,GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Corruption
Tanzania,2013,3.8523948192596436,7.683146953582764,0.8034185767173767,55.380001068115234,0.6541821360588074,0.053889255970716476,0.859005868434906
Kosovo,2013,6.125758171081543,9.046239852905273,0.7207503914833069,,0.568463146686554,0.1168728694319725,0.9350945949554443
Zambia,2013,5.243995666503906,8.110990524291992,0.7613115310668945,51.380001068115234,0.7699123620986938,-0.1049949899315834,0.7322675585746765
Nicaragua,2013,5.772274971008301,8.5592041015625,0.8682160377502441,65.0,0.8591490387916565,0.03744075447320938,0.6362467408180237
Thailand,2013,6.231024742126465,9.64487075805664,0.9263778328895569,67.63999938964844,0.7810819745063782,0.4544508457183838,0.9254300594329834
Panama,2013,6.866480350494385,10.187796592712402,0.8957198262214661,67.9800033569336,0.811337947845459,0.014273376204073429,0.8144646286964417
Germany,2013,6.96512508392334,10.81886100769043,0.9314205646514893,70.05999755859375,0.8943129777908325,0.019869422540068626,0.5657942295074463
Belarus,2013,5.876466274261475,9.841900825500488,0.9225059747695923,63.97999954223633,0.7234312891960144,-0.18112635612487793,0.6530391573905945
Uganda,2013,3.7095787525177,7.614126205444336,0.8782752156257629,54.619998931884766,0.7630213499069214,0.049727294594049454,0.8204808235168457
Israel,2013,7.320563316345215,10.503323554992676,0.9085158705711365,71.63999938964844,0.7390016317367554,0.14716659486293793,0.8485378623008728
New Zealand,2013,7.280151844024658,10.584589004516602,0.958153486251831,69.86000061035156,0.9440004229545593,0.23190489411354065,0.3122358024120331
Turkmenistan,2013,5.391762733459473,9.31213092803955,0.8457331657409668,61.060001373291016,0.7045294642448425,-0.07196910679340363,
Denmark,2013,7.588606834411621,10.848934173583984,0.9647079706192017,70.05999755859375,0.920254647731781,0.21061068773269653,0.17004217207431793
Netherlands,2013,7.406550407409668,10.85205364227295,0.924705445766449,71.0199966430664,0.9189958572387695,0.30050984025001526,0.5045299530029297
Nepal,2013,4.604576587677002,8.000445365905762,0.7400989532470703,60.08000183105469,0.7222657799720764,0.14069905877113342,0.8773404955863953
Uzbekistan,2013,5.939986228942871,8.662359237670898,0.9627806544303894,63.02000045776367,0.9495399594306946,-0.04049959406256676,0.43393179774284363
Australia,2013,7.364169120788574,10.75245475769043,0.9282051920890808,70.44000244140625,0.9333791732788086,0.2651934027671814,0.43153902888298035
France,2013,6.667121410369873,10.664618492126465,0.9076908230781555,71.5,0.8777957558631897,-0.128365620970726,0.6990693807601929
Czechia,2013,6.69765567779541,10.42410945892334,0.8880433440208435,68.05999755859375,0.7259456515312195,-0.15997612476348877,0.915898859500885
Latvia,2013,5.069770336151123,10.115168571472168,0.834022581577301,65.19999694824219,0.6305075287818909,-0.07660531252622604,0.8365536332130432
Pakistan,2013,5.138082504272461,8.358598709106445,0.6070870757102966,55.279998779296875,0.4479095935821533,0.09392213076353073,0.7918352484703064
Kuwait,2013,6.4800310134887695,10.951713562011719,0.8619481325149536,69.80000305175781,0.7505248785018921,,
Armenia,2013,4.277191162109375,9.27587604522705,0.7232600450515747,65.5199966430664,0.5040818452835083,-0.19842009246349335,0.8997967839241028
Ghana,2013,4.965053081512451,8.435989379882812,0.6762892007827759,55.619998931884766,0.7937937378883362,-0.06719569116830826,0.8801784515380859
